,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
19080,90652,Information,"2,4,6-Tribromophenol, surrogate, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,118-79-6, ,%
19081,90653,Information,"2,4,6-Tribromophenol, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,118-79-6, ,%
19082,90654,Information,"1-Bromo-4-fluorobenzene, surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,460-00-4, ,%
19083,90655,Information,"1,2-Dichlorobenzene-d4, surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,2199-69-1, ,%
19084,90656,Information,"PCB congener 30, surrogate, NWQL schedule 2101, biota, whole organism, percent recovery",USGS use and no use by EPA,,,,,,,35693-92-6, ,%
19085,90657,Information,"Bisphenol S-2,2',3,3',5,5',6,6'-d8, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19086,90658,Information,"alpha-HCH-d6, surrogate, NWQL schedule 2019, water, unfiltered, percent recovery",Not checked,,,,,Total,,86194-41-4, ,%
19087,90659,Information,"Diazinon-d10, surrogate, NWQL schedule 2019, water, unfiltered, percent recovery",Not checked,,,,,Total,,100155-47-3, ,%
19088,90660,Information,"alpha-HCH-d6, surrogate, NWQL schedule 4404, bed sediment, percent recovery",Not checked,,,,,Bed Sediment,,86194-41-4, ,%
19089,90661,Information,"Diazinon-d10, surrogate, NWQL schedule 4404, bed sediment, percent recovery",Not checked,,,,,Bed Sediment,,100155-47-3, ,%
19090,90662,Information,"2,4-D-d3, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,202480-67-9, ,%
19091,90663,Information,"3-Phenoxybenzoic acid-13C6, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
