site_no,datetime,00065,00060,00010,00095,00300,00400,72255,63160,63680,00301,32316
10260500,2024-05-01 21:15:00+00:00,2.37,88.9,15.4,130.0,,8.2,,3026.9,,,
10260500,2024-05-01 21:30:00+00:00,2.37,88.9,15.5,130.0,,8.2,,3026.9,,,
10260500,2024-05-01 21:45:00+00:00,2.37,88.9,15.6,130.0,,8.3,,3026.9,,,
10260500,2024-05-01 22:00:00+00:00,2.37,88.9,15.8,130.0,,8.3,,3026.9,,,
10260500,2024-05-01 22:15:00+00:00,2.37,88.9,15.8,135.0,,8.3,,3026.9,,,
10260500,2024-05-01 22:30:00+00:00,2.37,88.9,15.9,135.0,,8.3,,3026.9,,,
10260500,2024-05-01 22:45:00+00:00,2.36,86.6,16.0,135.0,,8.3,,3026.89,,,
10260500,2024-05-01 23:00:00+00:00,2.36,86.6,16.0,135.0,,8.3,,3026.89,,,
10260500,2024-05-01 23:15:00+00:00,2.36,86.6,16.1,136.0,,8.3,,3026.89,,,
10260500,2024-05-01 23:30:00+00:00,2.36,86.6,16.1,137.0,,8.2,,3026.89,,,
10260500,2024-05-01 23:45:00+00:00,2.36,86.6,16.1,137.0,,8.3,,3026.89,,,
10260500,2024-05-02 00:00:00+00:00,2.36,86.6,16.0,137.0,,8.3,,3026.89,,,
10260500,2024-05-02 00:15:00+00:00,2.36,86.6,16.0,134.0,,8.2,,3026.89,,,
10260500,2024-05-02 00:30:00+00:00,2.36,86.6,15.9,134.0,,8.2,,3026.89,,,
10260500,2024-05-02 00:45:00+00:00,2.36,86.6,15.9,134.0,,8.2,,3026.89,,,
10260500,2024-05-02 01:00:00+00:00,2.36,86.6,15.8,134.0,,8.2,,3026.89,,,
10260500,2024-05-02 01:15:00+00:00,2.36,86.6,15.8,132.0,,8.2,,3026.89,,,
10260500,2024-05-02 01:30:00+00:00,2.35,84.4,15.7,132.0,,8.2,,3026.88,,,
10260500,2024-05-02 01:45:00+00:00,2.35,84.4,15.6,132.0,,8.2,,3026.88,,,
10260500,2024-05-02 02:00:00+00:00,2.35,84.4,15.6,132.0,,8.2,,3026.88,,,
10260500,2024-05-02 02:15:00+00:00,2.35,84.4,15.5,129.0,,8.2,,3026.88,,,
10260500,2024-05-02 02:30:00+00:00,2.35,84.4,15.5,129.0,,8.2,,3026.88,,,
10260500,2024-05-02 02:45:00+00:00,2.35,84.4,15.4,129.0,,8.2,,3026.88,,,
10260500,2024-05-02 03:00:00+00:00,2.35,84.4,15.4,129.0,,8.2,,3026.88,,,
10260500,2024-05-02 03:15:00+00:00,2.35,84.4,15.3,134.0,,8.2,,3026.88,,,
